Tipo;Bairro;Quartos;Area;Aluguel;Condominio;Valor Bruto;Valor / m^2
Apartamento;Recreio dos Bandeirantes;2;90;1800.0;640.0;2440.0;27.11111111111111
Apartamento;Copacabana;3;113;4000.0;730.0;4730.0;41.85840707964602
Apartamento;Pechincha;2;48;700.0;305.0;1005.0;20.9375
Apartamento;Lagoa;4;250;6200.0;2324.0;8524.0;34.096
Apartamento;Ipanema;2;100;6500.0;2100.0;8600.0;86.0
Apartamento;Barra da Tijuca;1;70;2300.0;1250.0;3550.0;50.714285714285715
Apartamento;Andaraí;1;69;1500.0;496.0;1996.0;28.92753623188406
Apartamento;Irajá;3;56;1200.0;375.0;1575.0;28.125
Apartamento;Barra da Tijuca;3;117;4500.0;990.0;5490.0;46.92307692307692
Apartamento;Tijuca;2;72;1800.0;535.0;2335.0;32.43055555555556
Apartamento;Méier;2;100;1350.0;600.0;1950.0;19.5
Apartamento;Freguesia (Jacarepaguá);3;110;1700.0;800.0;2500.0;22.727272727272727
Apartamento;Botafogo;2;75;1800.0;665.0;2465.0;32.86666666666667
Apartamento;Tijuca;5;220;3200.0;1200.0;4400.0;20.0
Apartamento;Humaitá;2;90;2400.0;815.0;3215.0;35.72222222222222
Apartamento;Leblon;2;100;3500.0;1350.0;4850.0;48.5
Apartamento;Ipanema;3;120;5800.0;900.0;6700.0;55.833333333333336
Apartamento;Copacabana;3;130;5500.0;1300.0;6800.0;52.30769230769231
Apartamento;Barra da Tijuca;2;83;1500.0;1306.0;2806.0;33.80722891566265
Apartamento;Copacabana;1;50;1600.0;600.0;2200.0;44.0
Apartamento;Tijuca;3;110;2400.0;800.0;3200.0;29.09090909090909
Apartamento;Jardim Botânico;2;86;4000.0;1090.0;5090.0;59.18604651162791
Apartamento;Freguesia (Jacarepaguá);3;75;1200.0;640.0;1840.0;24.533333333333335
Apartamento;Barra da Tijuca;3;146;5900.0;2300.0;8200.0;56.16438356164384
Apartamento;Campo Grande;3;70;900.0;370.0;1270.0;18.142857142857142
